SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,Tanimoto_Similarity
O=C(NC1=NC=2C=CC=CC2N1C3CCCC3)C=4C=CNN4,Z1251688762,295.34,295.34,2.929,-3.822,2,3,75.6,3,https://real.enamine.net/public-enum-files/Z1251688762,0.2571428571428571
CN(C)C1CCN(CC1)C(=O)CCC2=NC=3C=CC=CC3N2,Z815906668,300.399,300.399,-0.034,-2.291,1,3,52.23,4,https://real.enamine.net/public-enum-files/Z815906668,0.2571428571428571
CCN1C(=O)C(=NC=2C=CC=CC21)NCCC3=NC=4C=CC=CC4N3,Z3289823047,333.388,333.388,3.021,-3.204,2,4,73.38,5,https://real.enamine.net/public-enum-files/Z3289823047,0.2571428571428571
O=C(NC1=NC=2C=CC=CC2N1CCC=3C=CC=CN3)C4CC4,Z1334430318,306.363,306.363,2.646,-3.395,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z1334430318,0.2571428571428571
O=C(NC=1C=CC=CC1NC(=O)C=2C=CC=CC2)C=3C=C(CN4C=CC=N4)ON3,Z2213071578,387.392,387.392,1.807,-4.338,2,4,102.05,6,https://real.enamine.net/public-enum-files/Z2213071578,0.2571428571428571
O=C(NC1CCCCCC21NC(=O)NC2=O)C=3C=NC4=CC=CC=C4N3,Z4458223888,353.376,353.376,1.719,-3.328,3,5,113.08,2,,0.25675675675675674
CSCC=1C=CC=NC1C(=O)NC=2C=CC=3NN=CC3C2Cl,Z5330395741,332.809,332.809,2.288,-4.265,2,3,70.67,4,https://real.enamine.net/public-enum-files/Z5330395741,0.25675675675675674
CC(C(=O)N1CCC(CNC(=O)C=2C=CC=CN2)CC1)N3CCN(C)CC3,Z1549417375,373.493,373.493,-0.085,-1.213,1,5,68.78,5,https://real.enamine.net/public-enum-files/Z1549417375,0.25675675675675674
O=C(NC=1C=C(NN1)C=2C=C(F)C=C(F)C2)C3=CC=CC(=O)N3,Z2016687505,316.263,316.263,1.578,-5.483,3,3,86.88,3,https://real.enamine.net/public-enum-files/Z2016687505,0.25675675675675674
CCN1N=C(C=C1C2CC2)C(=O)NC=3C=CC=NC3C(F)(F)F,Z2999052579,324.302,324.302,1.118,-3.019,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z2999052579,0.25675675675675674
